model,term,estimate,std.error,conf.low,conf.high,statistic,logLik,df,parameter
t.test1,NA,-4.501538461538462,NA,-4.985405579646861,-4.017671343430062,-18.381358259273558,NA,NA,151
t.test2,NA,-3.827179487179487,NA,-4.30030908545277,-3.354049888906205,-15.982380175800381,NA,NA,151
anova,(Intercept),4.023504273504273,0.18828399058600326,3.6514929675323025,4.395515579476244,21.369338205451093,NA,NA,NA
anova,condition,-0.15683760683760703,0.26892332860207563,-0.6881760300791246,0.37450081640391053,-0.5832056581066597,NA,NA,NA
eq_test1,NA,0.09431689851044772,NA,-0.17296730379237887,Inf,2.9988774484081184,NA,NA,150.86212576663257
eq_test2,NA,0.09431689851044772,NA,-Inf,0.3616011008132743,-1.8308619576553118,NA,NA,150.86212576663257
mixed1,(Intercept),3.9466230936819167,0.19408916729576212,3.566215315992854,4.3270308713709795,20.334071956050327,NA,NA,NA
mixed1,sd__(Intercept),1.2305352797619404,NA,NA,NA,NA,NA,NA,NA
mixed1,sd__Observation,1.1049666599507182,NA,NA,NA,NA,NA,NA,NA
mixed2,(Intercept),4.023504273504223,0.27139622622343346,3.4915774445662082,4.555431102442237,14.82520346540035,NA,NA,NA
mixed2,condition,-0.15683760683755232,0.38763134507025576,-0.9165810824540712,0.6029058687789666,-0.40460506827466824,NA,NA,NA
mixed2,sd__(Intercept),1.228034986660616,NA,NA,NA,NA,NA,NA,NA
mixed2,sd__Observation,1.1049666601583426,NA,NA,NA,NA,NA,NA,NA
mixed_comp1,fit6,NA,NA,NA,NA,NA,-271.9435915391032,NA,NA
mixed_comp1,fit7,NA,NA,NA,NA,0.16344308909560823,-271.8618699945554,1,NA
