model,term,estimate,std.error,conf.low,conf.high,statistic,logLik,df,parameter
t.test1,NA,-4.475961538461538,NA,-4.970326456645407,-3.9815966202776703,-17.95964334900146,NA,NA,101.45816214139604
t.test2,NA,-4.209935897435898,NA,-4.706255130391367,-3.7136166644804285,-16.797686490355666,NA,NA,117.73329516320356
t.test3,NA,-0.1314102564102564,NA,-0.6428602058011401,0.38003969298062734,-0.5075251195135246,NA,NA,155.9493653710989
t.test4,NA,-0.13557692307692282,NA,-0.7134711847980192,0.44231733864417344,-0.46349763868190086,NA,NA,152.41682704790708
anova,(Intercept),4.188034188034187,0.20460959832614162,3.7838714045043402,4.592196971564034,20.46841508069717,NA,NA,NA
anova,condition,0.12029914529914558,0.2875474713176773,-0.44768978266637677,0.6882880732646679,0.41836273067496826,NA,NA,NA
eq_test1,NA,-0.06657163718797211,NA,-0.33007082121473735,Inf,2.0310947865297533,NA,NA,154.9639197033758
eq_test2,NA,-0.06657163718797211,NA,-Inf,0.19692754683879313,-2.8672200047860414,NA,NA,154.9639197033758
mixed1,(Intercept),4.24556297092797,0.20729162116163385,3.8392788591542466,4.651847082701693,20.48111229550146,NA,NA,NA
mixed1,sd__(Intercept),1.341382523645002,NA,NA,NA,NA,NA,NA,NA
mixed1,sd__Observation,1.192521885686016,NA,NA,NA,NA,NA,NA,NA
mixed2,(Intercept),4.188034188034178,0.29547932159477047,3.6089053595320992,4.767163016536256,14.173696370461341,NA,NA,NA
mixed2,condition,0.1131250869189089,0.41434027129205053,-0.6989669221580652,0.925217095995883,0.273024600206365,NA,NA,NA
mixed2,sd__(Intercept),1.3401336917396705,NA,NA,NA,NA,NA,NA,NA
mixed2,sd__Observation,1.192539879845069,NA,NA,NA,NA,NA,NA,NA
mixed_comp1,fit8,NA,NA,NA,NA,NA,-293.402915687933,NA,NA
mixed_comp1,fit9,NA,NA,NA,NA,0.0744853094984137,-293.3656730331838,1,NA
mixed3,(Intercept),4.1996836541393705,0.36941691696025614,3.475639801617445,4.923727506661296,11.368411843984923,NA,NA,NA
mixed3,condition,0.11364993560789835,0.4143075326769105,-0.6983779069624975,0.9256777781782942,0.27431298406183213,NA,NA,NA
mixed3,taskascompetition,-0.00325683998638572,0.062027389502125566,-0.12482828946558962,0.11831460949281818,-0.05250648161283838,NA,NA,NA
mixed3,sd__(Intercept),1.3394495666942252,NA,NA,NA,NA,NA,NA,NA
mixed3,sd__Observation,1.192745263309306,NA,NA,NA,NA,NA,NA,NA
mixed4,(Intercept),4.272360071144373,0.4210012804054428,3.447212724104457,5.097507418184289,10.148092820596416,NA,NA,NA
mixed4,factor(condition)1,-0.049088891713478425,0.6159147004401481,-1.2562595221249444,1.1580817386979876,-0.07970079570823407,NA,NA,NA
mixed4,taskascompetition,-0.023574978073816397,0.08402929966212895,-0.18826937905771282,0.14111942291008003,-0.2805566411788312,NA,NA,NA
mixed4,factor(condition)1:taskascompetition,0.04442028901731081,0.12457513023507305,-0.19974247961281905,0.28858305764744063,0.3565742932276274,NA,NA,NA
mixed4,sd__(Intercept),1.3359907880759203,NA,NA,NA,NA,NA,NA,NA
mixed4,sd__Observation,1.1932049921239334,NA,NA,NA,NA,NA,NA,NA
mixed_comp2,fit9,NA,NA,NA,NA,NA,-293.3656730331838,NA,NA
mixed_comp2,fit11,NA,NA,NA,NA,0.002736345233756765,-293.3643048605669,1,NA
mixed_comp3,fit11,NA,NA,NA,NA,NA,-293.3643048605669,NA,NA
mixed_comp3,fit12,NA,NA,NA,NA,0.12670829424234853,-293.30095071344573,1,NA
