highschoolGPA,pre_intervention_GPA,gradegoal,gradegoal_E2,motivation,motivation_E2,importance,importance_E2,confidence,confidence_E2,grade,exam_1,exam_2,group
3.9,NA,2,2,5.5,7,6.25,7,4,5.5,91.4,91,90,0
4,3.254,1,2,7,7,7,7,5.5,6.25,93.7,90,95,1
4.3,2.762,2,2,5.5,5.5,5.5,5.5,5.5,6.25,90,83,94,1
3.7,3.865,2,2,5.5,5.5,5.5,6.25,3.25,2.5,88.3,86,88,1
4,3.277,2,2,5.5,7,7,6.25,4,5.5,85.4,87,82,1
3.5,3.022,1,1,1,NA,1.75,NA,1.75,NA,80.9,78,78,0
4.32,3.484,2,5,6.25,5.5,6.25,6.25,4.75,4,85.7,74,92,1
3.4,3.148,2,2,6.25,6.25,6.25,6.25,5.5,6.25,90.2,87,91,1
3.4,2.666,2,2,5.5,5.5,7,7,4.75,4.75,84.7,81,81,1
NA,3.303,NA,1,NA,7,NA,4,NA,4,75.9,70,87,1
4.14,3.216,4,3,6.25,6.25,6.25,6.25,4.75,6.25,84.1,77,84,1
3.8,3.113,2,2,5.5,6.25,5.5,6.25,4,5.5,93.6,86,98,0
3.9,3.233,2,2,6.25,6.25,5.5,6.25,5.5,5.5,83.5,83,81,1
3.89,2.61,4,4,5.5,5.5,7,6.25,4.75,5.5,87.8,81,92,1
4.3,3.783,1,1,6.25,6.25,5.5,6.25,5.5,6.25,96.2,94,96,1
NA,NA,NA,5,NA,4,NA,4,NA,4,83.9,84,87,0
NA,2.833,NA,4,NA,7,NA,7,NA,4.75,62.8,60,52,1
4,3.641,1,1,7,7,4,7,5.5,7,89.1,81,91,1
3.93,3.396,3,3,6.25,6.25,6.25,5.5,3.25,4,86.2,81,86,0
3.7,2.783,2,2,5.5,5.5,7,7,4.75,4.75,85.6,86,88,0
3.9,3.351,2,2,4,3.25,4.75,3.25,4,3.25,91,94,87,1
3.93,NA,1,2,7,7,7,7,4,4,92.2,87,91,1
3.99,2.414,2,2,6.25,6.25,6.25,5.5,6.25,6.25,80.9,82,74,0
NA,2.25,NA,4,NA,7,NA,7,NA,4,66.5,63,63,0
4,2.674,2,NA,4.75,NA,4,NA,3.25,NA,69.9,58,71,0
3.8,3.14,1,5,6.25,6.25,5.5,6.25,5.5,4.75,77.5,70,71,1
3.9,3.336,3,2,5.5,6.25,7,6.25,4.75,4,88.5,84,88,1
4.1,3.25,1,3,7,5.5,7,4,7,4,84,81,82,0
4.3,3.09,1,2,5.5,5.5,5.5,6.25,4,4.75,91.8,91,89,0
4,3.408,2,3,6.25,6.25,7,5.5,1.75,4,96.3,91,99,0
4,3.891,1,1,5.5,5.5,4,5.5,4,5.5,96.1,93,98,0
NA,3.132,NA,3,NA,4,NA,7,NA,2.5,80.7,84,84,1
3.98,3.228,4,5,5.5,6.25,5.5,7,4.75,4.75,75.1,70,78,1
