subID,groupnr,condition,Lottery_TOT,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,age,subgender,feel_interested,feel_distressed,feel_excited,feel_upset,feel_strong,feel_guilty,feel_scared,feel_hostile,feel_enthusiastic,feel_proud,feel_irritable,feel_alert,feel_ashamed,feel_inspired,feel_nervous,feel_determined,feel_attentive,feel_jittery,feel_active,feel_afraid,task_threatening,task_fearful,task_enjoyable,task_worrying,task_hostile,task_challenging,task_stimulating,task_exhilarating,task_painful,task_depressing,task_pitiful,task_informative,task_exciting,task_frightening,task_terrifying,task_intolerable,task_intense,task_unpleasant,betterperf,taskascompetition
AĽA,15,0,5.333333333333333,6,6,5,6,5,4,24,1,5,3,3,1,3,1,1,1,4,2,1,4,1,3,2,4,5,1,3,1,1,1,3,1,1,5,4,3,1,1,1,3,4,1,1,1,3,2,6,6
AĽB,15,0,7,7,7,7,7,7,7,24,1,3,1,2,1,3,1,1,1,3,3,1,2,1,2,1,3,4,1,3,1,1,1,3,1,1,2,4,3,1,1,1,4,3,1,1,1,1,2,3,2
AĽC,15,0,3.5,1,3,7,1,5,4,33,0,4,1,3,1,3,2,1,1,4,3,1,1,1,4,1,4,3,1,4,1,1,1,3,1,1,2,4,4,1,1,1,3,3,1,1,1,1,1,3,1
AMA,16,0,5.833333333333333,7,6,5,6,7,4,23,0,4,1,2,1,3,1,1,1,3,3,2,3,1,3,2,3,4,2,3,1,1,1,3,1,1,3,3,3,1,1,1,1,2,1,1,1,1,1,1,1
AMB,16,0,7,7,7,7,7,7,7,23,0,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1,3,1,3,1,1,1,2,1,1,3,1,1,2,1,1,3,2,1,2,1,1,1,3,2
AMC,16,0,3.1666666666666665,4,1,3,2,4,5,21,0,4,1,4,1,4,1,1,1,4,5,1,2,1,5,1,5,5,1,4,1,1,1,5,1,1,5,4,4,1,1,1,5,4,1,1,1,1,1,7,7
ANA,17,0,2.6666666666666665,7,4,1,2,1,1,22,1,4,1,3,2,2,1,1,1,4,3,1,3,1,3,4,4,4,3,4,2,2,1,4,3,1,4,4,3,1,1,1,2,3,2,1,1,2,3,6,6
ANB,17,0,1.5,1,3,1,2,1,1,21,0,4,1,4,1,4,1,1,1,5,5,1,2,1,4,1,4,5,1,5,1,1,2,5,1,1,5,3,3,1,1,1,3,5,1,1,1,1,1,7,5
ANC,17,0,1.1666666666666667,2,1,1,1,1,1,22,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
AOA,18,0,6.666666666666667,7,6,7,6,7,7,27,1,5,2,4,2,4,1,1,1,4,4,1,1,1,4,2,4,5,2,4,1,1,1,4,1,1,4,5,3,1,1,1,4,4,1,1,1,1,1,6,6
AOB,18,0,3.8333333333333335,2,4,3,1,7,6,20,0,3,3,3,4,2,4,3,2,4,3,2,2,4,4,4,4,3,4,3,2,2,2,3,2,1,3,4,4,1,1,1,3,4,1,1,1,4,4,5,5
AOC,18,0,3.1666666666666665,1,2,3,4,4,5,27,0,3,1,2,1,3,1,1,1,3,2,1,4,1,3,2,3,5,1,4,1,1,1,4,2,1,4,3,4,1,1,1,2,4,1,1,1,1,1,4,3
ARA,20,0,1.6666666666666667,3,1,3,1,1,1,29,1,3,1,2,1,3,1,1,1,2,3,1,1,1,3,1,3,4,1,4,1,1,1,4,1,1,2,2,3,1,1,2,2,4,1,1,1,1,1,6,6
ARB,20,0,2.1666666666666665,4,3,2,1,2,1,22,1,3,4,4,3,2,4,3,5,4,3,2,2,3,2,3,4,3,3,2,2,2,1,3,2,1,4,3,3,2,1,1,4,5,2,1,1,3,2,5,2
ARC,20,0,1.1666666666666667,1,2,1,1,1,1,20,0,5,1,4,1,1,1,2,1,5,2,1,3,1,5,4,4,4,4,5,2,1,1,3,3,1,4,4,3,1,1,1,3,4,1,1,1,1,1,5,5
ASA,21,0,3.5,7,3,3,4,3,1,22,1,3,2,3,3,1,2,2,1,3,3,1,3,2,2,4,4,4,3,5,3,3,3,2,3,1,4,3,2,4,2,2,4,3,1,1,3,4,3,4,4
ASB,21,0,5,7,7,7,1,7,1,27,0,4,2,3,1,3,2,1,1,3,1,2,3,2,3,3,4,4,3,3,2,2,2,3,2,1,3,3,2,1,1,1,4,3,2,2,1,1,1,3,2
ASC,21,0,3,3,2,4,5,1,3,20,1,4,1,2,1,1,1,1,1,2,1,1,3,1,2,2,2,3,1,2,1,1,1,2,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,5,3
ATA,22,0,3,4,1,4,2,1,6,18,1,5,2,4,1,3,1,3,1,5,3,1,2,1,3,2,3,4,2,5,1,1,2,4,2,1,4,4,3,1,2,1,4,2,2,1,1,2,2,1,1
ATB,22,0,4,3,5,4,3,4,5,21,0,4,2,3,1,3,1,1,1,3,3,2,3,1,3,1,3,4,1,4,1,1,2,4,1,1,4,3,4,2,2,1,4,3,1,1,1,2,1,5,4
ATC,22,0,5,4,7,6,5,1,7,22,1,4,1,4,1,3,1,1,1,3,2,1,4,1,2,3,4,5,2,4,1,1,1,4,2,1,5,3,2,2,3,1,4,4,1,1,1,2,3,6,6
AUA,23,0,1,1,1,1,1,1,1,26,0,4,1,3,2,1,1,1,1,3,2,1,4,3,1,3,4,4,3,4,2,1,1,1,3,1,4,2,1,2,1,1,2,3,1,2,1,2,3,5,5
AUB,23,0,2.6666666666666665,7,4,2,1,1,1,22,1,4,1,3,2,NA,1,1,1,3,1,1,2,1,3,3,3,4,3,3,1,1,1,3,2,1,3,3,2,1,1,1,1,4,1,1,1,1,1,5,5
AUC,23,0,4.5,4,6,3,2,6,6,25,0,4,1,1,1,3,1,2,1,2,2,1,3,1,1,3,3,4,1,3,2,2,3,2,2,1,4,4,1,1,1,1,2,1,1,1,1,1,1,3,1
AWA,24,0,7,7,7,7,7,7,7,23,1,4,1,3,1,4,1,1,1,3,3,1,4,1,3,1,4,4,1,4,1,1,2,1,2,1,2,2,3,1,2,1,1,2,1,1,1,1,1,5,5
AWB,24,0,6,5,6,6,6,7,6,23,1,3,2,4,1,2,2,1,2,3,1,2,3,2,3,2,2,3,2,3,2,2,2,3,1,1,3,3,2,1,1,2,2,3,2,2,1,2,2,3,3
AWC,24,0,5.333333333333333,3,4,6,7,6,6,21,1,5,1,1,1,4,1,1,1,5,3,1,1,1,3,1,4,5,1,5,1,1,1,3,1,1,4,3,3,1,1,1,3,1,2,1,1,2,1,5,2
AXA,25,0,3.1666666666666665,3,6,3,2,4,1,24,0,5,1,4,1,4,1,1,1,5,1,1,4,1,4,1,4,4,1,5,1,1,1,3,1,1,4,4,3,1,1,1,4,4,1,1,1,1,1,7,7
AXB,25,0,1.5,1,2,1,2,1,2,24,0,4,1,4,3,4,1,1,1,5,4,1,4,1,3,3,3,4,1,4,1,1,1,3,1,1,3,3,1,1,1,1,2,3,1,1,1,1,1,5,5
AXC,25,0,7,7,7,7,7,7,7,23,1,4,2,2,2,1,3,2,1,4,2,1,1,4,2,2,3,4,2,4,2,1,1,3,1,1,3,3,2,1,3,2,2,2,1,1,1,1,1,5,5
AYA,26,0,2.8333333333333335,3,4,5,2,1,2,24,0,3,1,4,1,2,1,1,1,4,2,1,2,1,4,1,3,2,1,5,1,1,1,4,1,1,4,5,3,1,1,1,2,4,1,1,1,1,1,3,3
AYB,26,0,4.333333333333333,3,4,7,5,4,3,25,0,4,1,4,2,3,1,1,1,4,4,1,3,1,4,2,4,5,2,5,1,1,1,3,1,1,4,4,3,1,1,1,4,4,1,1,1,3,2,6,5
AYC,26,0,4.166666666666667,6,5,5,4,3,2,21,0,4,1,4,2,2,1,1,1,4,2,1,4,1,5,2,5,5,2,4,1,3,2,3,1,1,4,4,1,1,1,1,2,2,1,1,1,1,2,4,4
AZA,27,0,2.5,1,1,2,3,7,1,24,0,4,1,3,1,3,1,1,1,3,2,1,1,1,2,1,4,4,1,3,1,1,1,3,1,1,4,2,1,1,1,1,3,2,1,1,1,3,2,6,4
AZB,27,0,3.8333333333333335,1,7,3,5,4,3,23,1,4,1,3,2,3,1,1,1,3,3,2,2,1,3,2,2,3,1,2,1,1,1,3,3,1,3,3,3,1,1,1,3,3,1,1,1,2,2,5,5
AZC,27,0,2.1666666666666665,2,1,2,3,2,3,21,1,4,1,3,2,2,1,2,1,4,3,1,3,1,3,3,3,5,2,5,2,2,2,3,2,1,4,3,2,1,1,2,2,3,2,1,1,2,2,6,7
BAA,28,1,3.5,7,7,4,1,1,1,21,0,4,2,2,1,2,1,1,1,3,3,2,2,1,2,2,4,4,2,4,1,3,1,2,2,1,4,4,4,2,1,1,2,3,2,1,1,2,6,5,6
BAB,28,1,1,1,1,1,1,1,1,20,0,2,1,3,4,2,1,1,1,3,3,3,2,1,2,2,3,2,1,2,1,2,2,1,3,3,4,3,2,3,4,2,2,2,2,2,4,8,8,2,2
BAC,28,1,1.5,1,2,1,1,3,1,23,0,4,1,2,1,2,1,1,1,1,1,1,4,1,1,2,3,4,2,3,1,1,1,3,2,1,4,3,3,2,2,1,4,3,1,1,2,3,7,5,3
BCA,29,1,3.3333333333333335,7,7,1,3,1,1,21,0,4,3,3,2,2,1,1,1,3,2,2,4,2,3,2,4,4,3,4,2,1,2,3,2,1,4,4,3,3,2,1,3,4,2,1,2,6,8,7,6
BCB,29,1,1.3333333333333333,1,1,2,1,2,1,20,0,3,2,3,3,3,1,4,1,3,2,4,2,1,4,1,3,3,1,2,1,1,1,3,2,1,3,2,2,3,2,1,3,2,1,1,2,7,8,2,1
BCC,29,1,4,7,7,1,1,7,1,20,1,4,1,2,1,3,1,1,1,1,1,1,2,1,1,2,2,4,1,3,1,1,1,1,2,2,3,2,1,2,1,1,1,2,1,1,2,4,3,3,2
BDA,30,1,2.3333333333333335,3,2,3,2,1,3,22,0,4,1,4,1,2,1,1,1,4,3,1,2,2,5,2,3,5,3,5,1,1,1,1,1,1,5,3,2,2,1,1,3,3,1,1,2,5,6,5,1
BDB,30,1,2.1666666666666665,4,3,3,1,1,1,23,0,4,1,2,2,3,1,1,1,2,2,1,3,1,2,1,3,4,1,5,1,3,3,1,2,1,4,3,1,4,1,1,1,3,1,2,2,7,7,3,2
BDC,30,1,3,3,4,2,4,3,2,24,0,2,1,1,1,1,1,2,1,3,3,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,4,3,2,3,1,1,3,3,1,1,3,7,6,4,3
BĎA,31,1,4.833333333333333,3,4,5,4,6,7,22,0,4,1,4,1,3,1,1,1,5,4,1,2,2,4,3,4,4,2,3,1,3,3,2,2,2,4,4,3,4,2,2,3,4,2,2,3,8,8,3,2
BĎB,31,1,7,7,7,7,7,7,7,23,0,5,1,4,3,3,1,1,1,4,3,1,5,2,3,3,5,5,1,4,1,2,1,4,2,1,5,5,5,3,1,1,4,5,1,1,1,6,6,5,5
BĎC,31,1,7,7,7,7,7,7,7,25,0,4,2,4,2,3,1,1,1,3,2,1,1,1,3,3,4,4,3,4,2,2,2,2,2,1,3,3,1,4,3,1,1,3,2,1,1,6,5,3,3
BEA,32,1,4.166666666666667,4,4,5,4,4,4,22,0,3,1,1,2,1,1,3,2,2,1,2,4,3,1,4,1,3,4,1,2,1,3,1,3,2,5,1,1,5,1,1,1,1,1,1,5,10,9,3,3
BEB,32,1,4,3,7,7,3,1,3,22,0,4,2,2,2,3,1,1,1,1,3,2,3,2,3,2,4,3,3,3,2,2,1,1,2,2,3,3,3,3,3,2,1,2,2,1,3,7,6,4,3
