subID,groupnr,condition,Lottery_TOT,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,age,subgender,feel_interested,feel_distressed,feel_excited,feel_upset,feel_strong,feel_guilty,feel_scared,feel_hostile,feel_enthusiastic,feel_proud,feel_irritable,feel_alert,feel_ashamed,feel_inspired,feel_nervous,feel_determined,feel_attentive,feel_jittery,feel_active,feel_afraid,task_threatening,task_fearful,task_enjoyable,task_worrying,task_hostile,task_challenging,task_stimulating,task_exhilarating,task_painful,task_depressing,task_pitiful,task_informative,task_exciting,task_frightening,task_terrifying,task_intolerable,task_intense,task_unpleasant,betterperf,taskascompetition
BMB,41,1,7,7,7,7,7,7,7,22,0,3,2,2,2,1,1,2,1,2,2,1,3,1,3,3,3,4,3,4,2,2,2,1,1,1,3,4,2,3,2,1,3,4,3,2,2,7,6,4,4
BMC,41,1,6.166666666666667,4,7,7,5,7,7,19,1,3,1,1,1,5,1,1,1,2,5,1,2,1,3,1,1,2,1,5,5,1,1,2,3,1,1,1,1,2,1,3,1,1,2,1,3,3,3,5,1
BNA,42,1,4,1,2,7,3,4,7,22,1,4,1,3,1,3,2,1,1,4,2,1,3,2,3,1,3,4,1,3,1,2,1,3,1,1,4,3,2,3,1,1,2,3,1,1,1,7,5,5,2
BNB,42,1,4,4,4,4,4,4,4,23,0,5,1,2,1,1,1,2,1,3,1,1,2,1,2,2,3,3,2,3,2,1,2,1,2,1,3,2,3,5,1,1,2,2,2,2,2,7,7,4,2
BNC,42,1,7,7,7,7,7,7,7,21,1,5,1,2,2,2,1,1,1,4,4,1,1,1,2,2,5,4,3,3,1,1,1,3,1,1,5,3,2,2,1,1,2,3,1,1,1,4,2,7,5
BOA,43,1,4.166666666666667,4,1,7,5,6,2,24,1,5,2,5,2,5,1,1,1,5,5,1,2,2,5,1,5,5,1,5,1,1,1,5,1,1,5,5,5,1,1,1,1,5,1,1,2,1,4,6,3
BOB,43,1,2.8333333333333335,6,3,1,2,2,3,23,1,5,2,3,3,4,1,2,1,4,3,1,1,1,4,1,4,5,1,5,1,3,2,1,3,3,4,2,3,3,3,3,3,3,3,3,3,4,7,7,6
BOC,43,1,2.1666666666666665,1,1,1,2,7,1,22,0,4,1,3,1,2,1,1,1,3,3,1,2,3,2,1,4,4,1,4,1,1,1,2,1,1,4,3,1,3,1,1,1,2,1,1,1,1,1,1,4
BPA,44,1,4.5,4,4,5,6,4,4,23,0,4,1,3,2,2,1,1,1,2,2,1,2,1,2,1,2,3,2,3,1,3,2,3,2,2,4,4,4,2,2,1,4,3,2,2,2,4,6,1,1
BPB,44,1,4.666666666666667,5,6,7,3,4,3,21,0,3,1,3,2,3,1,1,1,4,3,2,4,1,2,2,4,4,2,4,1,1,1,2,1,1,5,2,3,3,1,2,1,4,1,1,2,3,2,5,5
BPC,44,1,3.3333333333333335,3,4,2,3,4,4,22,1,3,4,4,5,2,3,1,1,1,2,3,4,2,1,5,4,3,5,4,1,1,3,1,5,1,5,4,2,5,3,1,1,4,3,3,5,6,7,4,2
BQA,45,1,5,1,7,7,4,5,6,22,1,4,2,4,1,2,2,1,1,4,3,3,1,3,2,1,4,4,1,4,1,1,1,3,1,1,4,3,4,4,1,1,2,4,1,1,2,7,7,6,5
BQB,45,1,3.8333333333333335,3,2,3,4,6,5,22,0,4,1,4,2,3,1,1,1,4,1,1,3,1,3,2,4,5,1,5,1,1,1,1,2,1,5,3,2,3,1,1,3,4,1,1,1,6,5,4,2
BQC,45,1,4.5,6,3,4,5,4,5,21,0,3,1,3,4,2,2,4,2,2,1,1,3,1,1,1,1,3,3,4,3,4,2,2,4,2,1,2,1,4,2,1,1,2,2,3,2,8,8,1,1
BRA,46,1,3.5,4,3,4,4,2,4,23,1,4,1,3,1,4,1,1,1,4,3,1,5,1,3,3,5,3,2,5,1,1,1,3,1,1,5,4,3,3,1,1,3,3,1,1,2,7,6,7,6
BRB,46,1,5.166666666666667,7,7,5,5,4,3,21,1,5,1,4,3,3,1,1,1,4,4,1,3,2,3,2,4,3,2,4,1,2,2,2,1,1,5,3,3,5,3,1,2,3,1,1,4,9,8,6,6
