subID,groupnr,condition,cooperation,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,age,subgender,groupgender,grouphomog,feel_interested,feel_distressed,feel_excited,feel_upset,feel_strong,feel_guilty,feel_scared,feel_hostile,feel_enthusiastic,feel_proud,feel_irritable,feel_alert,feel_ashamed,feel_inspired,feel_nervous,feel_determined,feel_attentive,feel_jittery,feel_active,feel_afraid,task_threatening,task_fearful,task_enjoyable,task_worrying,task_hostile,task_challenging,task_stimulating,task_exhilarating,task_painful,task_depressing,task_pitiful,task_informative,task_exciting,task_frightening,task_terrifying,task_intolerable,task_intense,task_unpleasant,betterperf,taskascompetition
MIA,9,0,7,7,7,7,7,7,7,20,1,2,0,3,1,2,2,2,1,1,1,2,2,1,3,1,1,2,2,3,1,3,1,1,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA
MIB,9,0,7,7,7,7,7,7,7,20,1,2,0,4,1,4,1,4,1,1,1,4,4,1,3,1,2,1,4,4,1,3,1,1,1,2,1,1,3,2,2,1,1,1,2,3,1,1,1,1,1,NA,NA
MIC,9,0,7,7,7,7,7,7,7,20,0,2,0,4,1,4,1,3,1,1,1,4,4,1,4,1,4,2,5,5,1,5,1,1,1,3,2,1,5,4,3,1,1,1,4,4,1,1,1,1,4,NA,NA
MJA,10,0,5.333333333333333,1,4,6,7,7,7,20,1,2,0,5,1,4,2,4,1,1,1,3,2,1,4,1,1,3,1,4,3,4,1,1,1,2,1,1,4,2,3,1,1,1,1,4,1,1,1,1,1,NA,NA
MJB,10,0,5.5,5,4,5,5,7,7,20,0,2,0,4,1,3,3,4,1,1,2,4,4,1,3,1,2,2,5,5,2,4,3,1,1,3,1,1,4,2,2,1,1,1,1,3,1,1,1,2,1,NA,NA
MJC,10,0,4.5,2,3,4,5,6,7,20,1,2,0,2,3,1,2,4,1,3,1,4,3,2,3,2,2,3,4,4,2,4,3,1,1,3,1,1,4,4,4,1,2,3,2,3,1,1,1,1,1,NA,NA
MKA,11,0,4.166666666666667,2,7,1,2,7,6,21,0,1,0,4,1,4,2,3,1,1,1,4,2,1,1,1,3,1,3,4,1,4,1,1,1,3,1,1,4,3,3,1,1,1,2,4,1,1,1,1,1,NA,NA
MKB,11,0,3.1666666666666665,4,1,6,2,3,3,21,0,1,0,4,1,3,2,3,1,2,1,4,3,1,3,1,1,2,1,3,3,2,2,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,NA,NA
MKC,11,0,5.666666666666667,5,6,5,6,5,7,21,1,1,0,5,1,4,4,4,1,2,1,5,4,2,3,2,4,4,3,3,2,4,2,2,2,4,2,1,4,2,4,1,1,1,2,3,1,1,1,2,2,NA,NA
MLA,25,0,3.6666666666666665,2,6,2,5,3,4,20,0,1,0,3,1,2,1,1,1,1,1,2,1,2,3,2,1,2,3,4,2,2,1,1,1,2,1,1,4,2,1,1,1,1,2,3,1,1,1,1,2,5,5
MLB,25,0,3.3333333333333335,2,4,6,5,1,2,22,0,1,0,4,1,4,2,2,1,1,2,2,2,1,1,1,1,2,4,4,1,3,1,1,1,2,1,1,4,1,1,2,1,1,1,3,1,1,1,2,3,6,7
MLC,25,0,4,7,7,7,1,1,1,21,1,1,0,2,4,2,4,3,4,4,3,2,2,5,4,5,3,4,2,4,3,4,4,4,4,1,5,4,5,5,4,1,1,4,2,4,4,4,5,2,2,6,5
MMA,26,0,1.8333333333333333,2,2,1,3,2,1,19,0,0,1,4,2,4,1,3,4,2,1,5,3,2,3,2,4,2,4,5,2,4,1,1,1,3,1,1,3,4,3,1,1,1,4,4,1,1,1,2,1,5,5
MMB,26,0,4.5,7,7,1,1,7,4,20,0,0,1,5,1,3,1,4,1,1,1,4,3,1,2,1,3,1,3,2,1,3,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5
MMC,26,0,2.6666666666666665,7,4,2,1,1,1,30,0,0,1,4,3,4,4,2,3,4,1,3,2,1,4,2,3,4,3,3,4,3,4,3,4,3,3,1,3,3,3,1,1,1,2,3,1,1,1,1,1,5,5
MNA,28,0,7,7,7,7,7,7,7,21,0,1,0,5,1,1,3,2,1,3,1,3,1,1,4,1,3,4,4,5,1,4,1,2,3,1,3,1,5,1,1,1,4,1,3,1,2,3,2,3,3,1,1
MNB,28,0,7,7,7,7,7,7,7,21,1,1,0,4,1,3,1,3,1,1,1,2,2,2,2,2,2,2,2,4,1,4,1,1,1,3,1,1,4,2,1,2,1,1,1,2,1,1,1,1,1,3,6
MNC,28,0,7,7,7,7,7,7,7,19,0,1,0,4,1,2,2,2,1,1,1,4,3,1,4,1,2,1,4,5,1,3,1,1,1,3,1,1,3,3,4,1,1,1,4,4,1,1,1,1,1,5,5
MOA,29,0,3.8333333333333335,4,3,1,4,4,7,24,1,2,0,4,1,2,1,3,3,1,1,3,3,1,2,1,1,2,3,4,2,3,1,1,1,2,1,1,3,2,1,1,1,1,2,2,1,1,1,1,2,5,6
MOB,29,0,3.8333333333333335,4,1,6,4,3,5,21,1,2,0,2,1,1,1,2,1,1,1,3,3,1,4,1,3,1,1,4,1,3,1,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,2,5,7
MOC,29,0,4.666666666666667,7,5,6,2,3,5,21,0,2,0,3,1,4,2,1,1,1,1,3,2,1,2,1,1,2,2,4,2,3,1,1,1,3,1,1,5,2,3,1,1,1,1,3,1,1,1,1,1,7,7
MPA,32,0,4,3,6,4,2,3,6,24,1,1,0,4,1,3,1,2,1,1,1,3,4,1,2,1,3,1,4,4,1,4,1,1,1,4,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,4,4
MPB,32,0,6.666666666666667,7,7,7,6,6,7,21,0,1,0,4,2,3,3,2,1,1,1,3,3,1,2,1,4,2,4,3,2,3,2,1,1,3,3,3,4,2,NA,1,1,1,1,2,1,1,1,1,1,4,5
MPC,32,0,4.333333333333333,7,1,6,4,5,3,21,0,1,0,4,1,3,1,3,1,1,1,3,2,1,3,1,3,1,2,4,1,4,1,1,1,4,1,1,4,3,2,1,2,3,3,3,1,1,1,1,1,4,4
MRA,36,0,2.3333333333333335,2,2,3,2,3,2,21,1,1,0,4,1,3,2,3,1,2,1,3,3,1,3,1,2,1,3,3,1,5,1,1,1,2,1,1,3,3,2,1,1,1,2,2,1,1,1,1,1,6,6
MRB,36,0,3.6666666666666665,1,2,5,2,5,7,19,0,1,0,3,3,2,3,2,1,1,1,2,2,2,2,1,2,3,2,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,3,2,3
MRC,36,0,5.166666666666667,7,7,3,4,3,7,19,0,1,0,4,1,2,NA,2,1,1,1,2,2,1,3,1,1,2,2,4,2,3,1,1,1,2,1,1,3,3,3,1,1,1,1,3,1,1,1,2,2,5,5
MQA,37,0,5.333333333333333,2,5,7,5,6,7,28,0,1,0,4,1,2,1,3,1,1,1,4,2,1,1,2,3,1,3,4,1,3,1,1,1,3,1,1,4,3,2,2,1,1,3,3,1,1,1,3,2,5,6
MQB,37,0,7,7,7,7,7,7,7,22,1,1,0,4,1,4,1,4,1,1,1,4,5,1,4,1,3,1,4,5,1,4,1,1,1,4,1,1,5,2,1,1,1,1,3,3,1,1,1,1,1,7,6
MQC,37,0,5.666666666666667,7,1,5,7,7,7,21,0,1,0,1,2,3,1,3,3,1,1,4,4,2,3,4,4,1,2,5,2,4,1,1,1,3,1,1,2,3,2,1,1,2,2,3,2,2,3,3,7,2,3
MSA,40,0,3.8333333333333335,6,2,7,2,5,1,21,1,1,0,2,1,3,1,4,1,1,1,4,3,3,4,2,2,1,4,3,2,3,1,2,1,3,1,2,4,2,4,1,2,1,5,3,1,1,1,1,1,3,3
MSB,40,0,3.5,4,5,1,5,2,4,19,0,1,0,5,2,4,2,4,1,1,2,3,2,2,4,1,5,3,5,5,1,3,1,1,1,4,3,1,5,3,2,1,1,1,2,4,1,1,1,1,1,7,7
MSC,40,0,7,7,7,7,7,7,7,21,0,1,0,4,2,4,3,4,1,1,2,4,4,1,3,1,3,4,5,5,2,4,1,1,1,3,2,2,4,4,3,2,1,1,2,4,1,1,2,3,2,6,6
MTA,42,0,2.1666666666666665,3,1,2,3,2,2,20,0,0,1,4,1,4,3,3,1,2,1,5,3,1,4,1,4,2,4,4,2,4,2,1,1,3,2,1,5,5,4,2,1,1,2,5,1,1,1,2,3,5,4
MTB,42,0,3.1666666666666665,7,1,3,2,4,2,22,0,0,1,4,1,4,1,4,1,1,1,3,4,1,2,1,3,1,3,4,1,4,1,1,1,4,1,1,4,3,3,1,1,1,3,4,1,1,1,2,2,5,5
MTC,42,0,3.5,4,1,4,4,6,2,19,0,0,1,3,2,3,2,3,1,1,1,3,3,1,2,3,2,2,4,4,3,4,1,1,1,3,2,1,4,2,1,2,1,1,1,3,1,1,1,1,4,7,7
MUA,43,0,2.1666666666666665,2,1,1,1,1,7,24,1,2,0,2,1,2,3,2,3,1,1,2,1,1,2,3,3,3,2,3,3,3,2,2,3,2,4,3,4,3,3,1,4,1,4,3,4,3,2,1,2,5,6
MUB,43,0,1.8333333333333333,1,3,2,2,2,1,21,1,2,0,4,1,4,2,4,1,2,1,4,3,1,4,1,3,3,3,2,2,4,1,1,1,2,1,1,4,3,2,1,1,1,2,1,1,1,1,1,1,6,6
MUC,43,0,2.1666666666666665,4,5,1,1,1,1,24,0,2,0,4,3,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,3,3,2,2,3,3,2,1,1,2,4,3,1,1,1,2,3,5,5,2,2
MVA,45,0,6.666666666666667,7,7,6,7,7,6,23,0,0,1,5,3,3,1,4,1,1,1,5,3,1,4,1,2,3,2,4,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,4,1,1,1,1,1,7,7
