model,term,estimate,std.error,conf.low,conf.high,statistic
anova,fit2,NA,NA,NA,NA,NA
anova,fit1,NA,NA,NA,NA,0.7947977273336733
glmer,(Intercept),6.98304686169216,2.5418553197116966,2.001101981145691,11.96499174223863,2.747224363062566
glmer,populationC,-1.9273624276874932,2.4929043428086435,-6.813365156495926,2.9586403011209397,-0.7731393437728222
glmer,sd__(Intercept),7.624047933573476,NA,NA,NA,NA
nullmodel,(Intercept),7.955423598344282,1.5859171332430861,4.8470831347228245,11.06376406196574,5.016292107315857
nullmodel,sd__(Intercept),8.568098348429789,NA,NA,NA,NA
