model,term,estimate,std.error,conf.low,conf.high,statistic
anova,m0.combi,NA,NA,NA,NA,NA
anova,m1.combi,NA,NA,NA,NA,0.8397271232194612
m1,(Intercept),8.624381046236927,1.664965312781344,5.361108997677027,11.887653094796827,5.179916350227019
m1,populationC,-1.785875616241865,2.0201149424511216,-5.745228148077267,2.1734769155935365,-0.8840465355278049
m1,sd__(Intercept),10.20955642132818,NA,NA,NA,NA
m0,(Intercept),9.175915107360316,1.4064622683783505,NA,NA,6.524110396463132
m0,sd__(Intercept),10.863200918950001,NA,NA,NA,NA
