model,term,estimate,std.error,conf.low,conf.high,statistic
anova,m0.combi,NA,NA,NA,NA,NA
anova,m1.combi,NA,NA,NA,NA,0.10384520789699536
m1,(Intercept),10.086066028393741,1.5021061336660377,7.1419921054516,13.030139951335883,6.714616099581263
m1,populationC,-0.6579915332192785,2.02189114973245,-4.620825367355161,3.3048423009166044,-0.3254337075991199
m1,sd__(Intercept),10.648351346133062,NA,NA,NA,NA
m0,(Intercept),10.172090682433446,1.497359577688499,NA,NA,6.793352000416818
m0,sd__(Intercept),10.711493482928123,NA,NA,NA,NA
