model,term,estimate,std.error,conf.low,conf.high,statistic
path1,HP ~ SOP,0.26016202030445673,0.07397429717070657,0.11517506206820868,0.40514897854070475,3.5169245299363183
path1,HP ~ SPP,-0.05329899236090425,0.0722695589895205,-0.1949447251589573,0.08834674043714882,-0.7375026651073504
path1,OP ~ SOP,0.32110545305792815,0.08879839748874115,0.14706379209512357,0.49514711402073275,3.6161176568376865
path1,OP ~ SPP,0.4074676705063435,0.09475522995714472,0.2217508324435291,0.5931845085691579,4.30021298761694
path1,PHYS_H ~ HP,0.7229172594038482,0.09757984283807469,0.5316642818241432,0.9141702369835533,7.408469191772187
path1,PHYS_H ~ OP,0.04380877372611244,0.06930174175834908,-0.09202014418614723,0.17963769163837212,0.6321453489418917
path1,psy_wb ~ HP,0.7196726263450203,0.08503886659836177,0.5529995105261251,0.8863457421639155,8.462867099864246
path1,psy_wb ~ OP,-0.015488915203715129,0.07655897332083922,-0.1655417456059228,0.13456391519849256,-0.202313517695764
path1,eat_disorder ~ HP,-0.2043890542745281,0.09604752212605447,-0.3926387384459088,-0.01613937010314742,-2.1279992419407168
path1,eat_disorder ~ OP,0.26244235652798015,0.06656230137541103,0.13198264310407365,0.39290206995188665,3.9428077320795545
path1,SOP ~~ SPP,0.8290748261563606,0.1275380675442416,0.5791048071118103,1.079044845200911,6.500606776629757
path1,HP ~~ OP,0.6733663647292352,0.1043666320194366,0.46881152478339466,0.8779212046750757,6.451931538845017
path1,PHYS_H ~~ psy_wb,1.0621243279795496,0.17484187002593657,0.7194405597390807,1.4048080962200185,6.07477103637699
path1,psy_wb ~~ eat_disorder,-0.7393348930571291,0.15939995040937355,-1.0517530549969718,-0.42691673111728634,-4.638237911356667
path1,PHYS_H ~~ eat_disorder,-0.936035700301815,0.17797917971301475,-1.2848684825373056,-0.5872029180663244,-5.2592426923819975
path1,HP ~~ HP,1.3843853612933357,0.11298725790373215,1.162934405090082,1.6058363174965893,12.252579511867303
path1,OP ~~ OP,1.8307229173669166,0.13769794017982065,1.5608399138691174,2.100605920864716,13.295209172890774
path1,PHYS_H ~~ PHYS_H,2.489555909566943,0.25876786155504783,1.9823802205626024,2.9967315985712832,9.620807988310938
path1,psy_wb ~~ psy_wb,2.3304255671433434,0.18789519803762833,1.962157746121571,2.6986933881651156,12.402794704080979
path1,eat_disorder ~~ eat_disorder,2.2791396782329674,0.1705321091452542,1.9449028861006157,2.6133764703653193,13.364871223704057
path1,SOP ~~ SOP,1.4715038215600837,0.15519368963572347,1.1673297792461788,1.7756778638739887,9.48172457922776
path1,SPP ~~ SPP,1.6593018660856218,0.1466425430354193,1.3718877631348352,1.9467159690364084,11.315282944082895
path1,ind_sohp_hpwb := sohp*hpwb,0.18723148442773488,0.05714644432642985,0.07522651170340909,0.29923645715206065,3.276345302574522
path1,ind_sohp_hpeat := sohp*hpeat,-0.05317426928817849,0.028007160622132498,-0.10806729541678659,0.0017187568404296028,-1.8985955058278143
path1,ind_sohp_hph := sohp*hph,0.18807561471946618,0.05940205883587236,0.0716497187936271,0.3045015106453053,3.166146399725274
path1,ind_soop_opwb := soop*opwb,-0.004973575133864778,0.02458737400747713,-0.0531639426629362,0.043216792395206635,-0.20228167238812456
path1,ind_soop_opeat := soop*opeat,0.08427167179450737,0.03213892955276894,0.021280527369410274,0.14726281621960446,2.6221057442545384
path1,ind_soop_oph := soop*oph,0.014067236135235596,0.022800318573989353,-0.030620567105823164,0.05875503937629436,0.6169754203032727
path1,ind_sphp_hpwb := sphp*hpwb,-0.038357825813915135,0.05222809010560891,-0.14072300140222133,0.06400734977439104,-0.7344290349571061
path1,ind_sphp_hpeat := sphp*hpeat,0.010893730642430518,0.015250263033440004,-0.018996235657874436,0.040783696942735474,0.7143306721033793
path1,ind_sphp_hph := sphp*hph,-0.03853076148653154,0.05239973198486039,-0.1412323489764094,0.06417082600334634,-0.7353236367251659
path1,ind_spop_opwb := spop*opwb,-0.006311232196728091,0.031210703462397252,-0.06748308691518626,0.054860622521730074,-0.202213711854713
path1,ind_spop_opeat := spop*opeat,0.10693677565665134,0.03690760858371063,0.034599192077077165,0.17927435923622553,2.897418168237767
path1,ind_spop_oph := spop*oph,0.017850658977918543,0.02845667844108753,-0.037923405886250414,0.0736247238420875,0.6272924303120581
path1,indtot := sohp*hpwb+sohp*hpeat+sohp*hph+soop*opwb+soop*opeat+soop*oph+sphp*hpwb+sphp*hpeat+sphp*hph+spop*opwb+spop*opeat+spop*oph,0.4679795084347264,0.12272080756772151,0.2274511454483218,0.708507871421131,3.8133672496938176
path2,HP ~ SOP,0.23013232365196648,0.061699174048314466,0.10920416464140179,0.3510604826625312,3.729909309187152
path2,OP ~ SOP,0.30649888602687464,0.08372062844074388,0.14240946951995692,0.47058830253379236,3.660972113268472
path2,OP ~ SPP,0.4333923344164844,0.08260842716506482,0.2714827923534572,0.5953018764795116,5.246345309910057
path2,PHYS_H ~ HP,0.6760092409897357,0.08047329630169768,0.518284478521188,0.8337340034582834,8.400416934026778
path2,psy_wb ~ HP,0.653736744460473,0.07116541479700692,0.5142550945134856,0.7932183944074604,9.186157999994794
path2,eat_disorder ~ OP,0.21273726564453477,0.05653292767521273,0.10193476346051016,0.32353976782855937,3.7630682576131815
path2,SOP ~~ SPP,0.829074906041382,0.12753805206675828,0.5791049173321416,1.0790448947506224,6.500608191878394
path2,HP ~~ OP,0.6750137611291389,0.10481055181342362,0.4695888543750594,0.8804386678832185,6.440322557701546
