"STUDY","METHOD","CI_OVERLAP"
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",0.775556031413198
"Study_2_Emanuel_1","parametric",0.0547882653588812
"Study_2_Emanuel_1","parametric",0.120841919828613
"Study_2_Emanuel_1","parametric",0.776904331687498
"Study_2_Emanuel_1","parametric",0.361181831623922
"Study_2_Emanuel_1","parametric",0.720470420758548
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","parametric",NA
"Study_2_Emanuel_1","cart",0.939777675188482
"Study_2_Emanuel_1","cart",0.345259472634788
"Study_2_Emanuel_1","cart",0.779851353155245
"Study_2_Emanuel_1","cart",0.746008353421945
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",0.824477758716751
"Study_2_Emanuel_1","cart",0.400602345375759
"Study_2_Emanuel_1","cart",0.475743650745693
"Study_2_Emanuel_1","cart",0.807953008590067
"Study_2_Emanuel_1","cart",0.67447073691264
"Study_2_Emanuel_1","cart",0.59973143622905
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_2_Emanuel_1","cart",NA
"Study_3_Emanuel_2","boot",0.921347793878234
"Study_3_Emanuel_2","boot",0.885333013864705
"Study_3_Emanuel_2","boot",0.923130861611439
"Study_3_Emanuel_2","boot",0.782936322067954
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",0.956412610554461
"Study_3_Emanuel_2","boot",0.905919551430964
"Study_3_Emanuel_2","boot",0.882164685122587
"Study_3_Emanuel_2","boot",0.988583395219518
"Study_3_Emanuel_2","boot",0.747604814867789
"Study_3_Emanuel_2","boot",0.663800286763497
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","boot",NA
"Study_3_Emanuel_2","independent",0.634611575385788
"Study_3_Emanuel_2","independent",0.0768290468991735
"Study_3_Emanuel_2","independent",0.679539059108272
"Study_3_Emanuel_2","independent",0.68760328190142
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",0.677380299513818
"Study_3_Emanuel_2","independent",0.0719959392933955
"Study_3_Emanuel_2","independent",0.218003212877402
"Study_3_Emanuel_2","independent",0.756453527828026
"Study_3_Emanuel_2","independent",0.689804661622078
"Study_3_Emanuel_2","independent",0.725680735216117
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","independent",NA
"Study_3_Emanuel_2","parametric",0.474780219944209
"Study_3_Emanuel_2","parametric",-2.50027101656472
"Study_3_Emanuel_2","parametric",0.473114627317659
"Study_3_Emanuel_2","parametric",0.324242991622545
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",0.744497490216996
"Study_3_Emanuel_2","parametric",-1.06564469874166
"Study_3_Emanuel_2","parametric",0.522392085992064
"Study_3_Emanuel_2","parametric",0.891601412470559
"Study_3_Emanuel_2","parametric",0.577437177537776
"Study_3_Emanuel_2","parametric",-0.818747516446594
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","parametric",NA
"Study_3_Emanuel_2","cart",0.961858203205546
"Study_3_Emanuel_2","cart",0.792068097625018
"Study_3_Emanuel_2","cart",0.859529446757676
"Study_3_Emanuel_2","cart",0.592610729175432
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",0.918316420715536
"Study_3_Emanuel_2","cart",0.794390325806342
"Study_3_Emanuel_2","cart",0.7466419059146
"Study_3_Emanuel_2","cart",0.868885710553982
"Study_3_Emanuel_2","cart",0.484289441444162
"Study_3_Emanuel_2","cart",0.720447033246681
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_3_Emanuel_2","cart",NA
"Study_4_Martin_2024","boot",0.76251415356233
"Study_4_Martin_2024","boot",0.879438212814306
"Study_4_Martin_2024","boot",NA
"Study_4_Martin_2024","boot",NA
"Study_4_Martin_2024","boot",NA
"Study_4_Martin_2024","independent",-0.327100302656445
"Study_4_Martin_2024","independent",0.538840424568123
"Study_4_Martin_2024","independent",NA
"Study_4_Martin_2024","independent",NA
"Study_4_Martin_2024","independent",NA
"Study_4_Martin_2024","parametric",0.651575442149838
"Study_4_Martin_2024","parametric",0.865974702257775
"Study_4_Martin_2024","parametric",NA
"Study_4_Martin_2024","parametric",NA
"Study_4_Martin_2024","parametric",NA
"Study_4_Martin_2024","cart",0.827509850751495
"Study_4_Martin_2024","cart",0.905172975906318
"Study_4_Martin_2024","cart",NA
"Study_4_Martin_2024","cart",NA
"Study_4_Martin_2024","cart",NA
"Study_5_St_Cyr_2024","boot",0.91207189499063
"Study_5_St_Cyr_2024","boot",0.768481678756674
"Study_5_St_Cyr_2024","boot",0.979252777709041
"Study_5_St_Cyr_2024","boot",0.84586536562794
"Study_5_St_Cyr_2024","boot",0.718833541400855
"Study_5_St_Cyr_2024","boot",0.876825516717714
"Study_5_St_Cyr_2024","boot",0.916446995194484
"Study_5_St_Cyr_2024","boot",0.930906454585026
"Study_5_St_Cyr_2024","boot",0.913999854619279
"Study_5_St_Cyr_2024","boot",0.876695379360068
"Study_5_St_Cyr_2024","boot",0.949723518512371
"Study_5_St_Cyr_2024","boot",0.946027590295958
"Study_5_St_Cyr_2024","boot",0.596650974839271
"Study_5_St_Cyr_2024","boot",0.987777819984808
"Study_5_St_Cyr_2024","boot",0.945814683736556
"Study_5_St_Cyr_2024","boot",0.48188686556501
"Study_5_St_Cyr_2024","boot",0.830919533403684
"Study_5_St_Cyr_2024","boot",0.96725070714822
"Study_5_St_Cyr_2024","boot",0.819847570441968
"Study_5_St_Cyr_2024","boot",0.844005707274844
"Study_5_St_Cyr_2024","boot",0.860403609298981
"Study_5_St_Cyr_2024","boot",0.414434485714019
"Study_5_St_Cyr_2024","boot",0.940801976549561
"Study_5_St_Cyr_2024","boot",0.857160695878342
"Study_5_St_Cyr_2024","boot",0.850646210739926
"Study_5_St_Cyr_2024","boot",0.93680582532553
"Study_5_St_Cyr_2024","boot",0.94857403639482
"Study_5_St_Cyr_2024","boot",0.881503304667425
"Study_5_St_Cyr_2024","boot",0.766975673181367
"Study_5_St_Cyr_2024","boot",0.787627396627193
"Study_5_St_Cyr_2024","boot",0.781638592670825
"Study_5_St_Cyr_2024","boot",0.979892312315097
"Study_5_St_Cyr_2024","boot",0.986680171378029
"Study_5_St_Cyr_2024","boot",0.860507303447248
"Study_5_St_Cyr_2024","boot",0.776693211187082
"Study_5_St_Cyr_2024","boot",0.743772805869142
"Study_5_St_Cyr_2024","boot",0.933148139289381
"Study_5_St_Cyr_2024","boot",0.914136887185041
"Study_5_St_Cyr_2024","boot",0.748989590377005
"Study_5_St_Cyr_2024","boot",0.901758236449138
"Study_5_St_Cyr_2024","boot",0.767585370415407
"Study_5_St_Cyr_2024","boot",0.949724225090381
"Study_5_St_Cyr_2024","boot",0.949113912588843
"Study_5_St_Cyr_2024","boot",0.597967258683198
"Study_5_St_Cyr_2024","boot",0.990915234623492
"Study_5_St_Cyr_2024","boot",0.926524788433616
"Study_5_St_Cyr_2024","boot",0.487171465566004
"Study_5_St_Cyr_2024","boot",0.829890075017547
"Study_5_St_Cyr_2024","boot",0.972226632169367
"Study_5_St_Cyr_2024","boot",0.821117842041597
"Study_5_St_Cyr_2024","boot",0.810159715111097
"Study_5_St_Cyr_2024","boot",0.860401709101514
"Study_5_St_Cyr_2024","boot",0.414432208885881
"Study_5_St_Cyr_2024","boot",0.784802835629676
"Study_5_St_Cyr_2024","boot",0.692798769836743
"Study_5_St_Cyr_2024","boot",0.94092093572834
"Study_5_St_Cyr_2024","boot",0.841973470705851
"Study_5_St_Cyr_2024","boot",0.816957823734545
"Study_5_St_Cyr_2024","boot",0.918102412307775
"Study_5_St_Cyr_2024","boot",0.769045173105956
"Study_5_St_Cyr_2024","boot",0.956717803139605
"Study_5_St_Cyr_2024","boot",0.830263210819021
"Study_5_St_Cyr_2024","boot",0.718600721380998
"Study_5_St_Cyr_2024","boot",0.843996482821046
"Study_5_St_Cyr_2024","boot",0.951512050169399
"Study_5_St_Cyr_2024","boot",0.928288868287627
"Study_5_St_Cyr_2024","boot",0.898341630621127
"Study_5_St_Cyr_2024","boot",0.915514161976036
"Study_5_St_Cyr_2024","boot",0.941427716557939
"Study_5_St_Cyr_2024","boot",0.96212386656146
"Study_5_St_Cyr_2024","boot",0.61495546376701
"Study_5_St_Cyr_2024","boot",0.99021733062724
"Study_5_St_Cyr_2024","boot",0.954027361068051
"Study_5_St_Cyr_2024","boot",0.471973928655549
"Study_5_St_Cyr_2024","boot",0.811105521934861
"Study_5_St_Cyr_2024","boot",0.988647510056864
"Study_5_St_Cyr_2024","boot",0.827454822458519
"Study_5_St_Cyr_2024","boot",0.857107894931075
"Study_5_St_Cyr_2024","boot",0.867928677900941
"Study_5_St_Cyr_2024","boot",0.401696641529134
"Study_5_St_Cyr_2024","boot",0.947877249240248
"Study_5_St_Cyr_2024","boot",0.901140160684604
"Study_5_St_Cyr_2024","boot",0.84981538528988
"Study_5_St_Cyr_2024","boot",0.955676163494986
"Study_5_St_Cyr_2024","boot",0.97306564304188
"Study_5_St_Cyr_2024","boot",0.835355469609308
"Study_5_St_Cyr_2024","boot",0.757166215006365
"Study_5_St_Cyr_2024","boot",0.702327779191637
"Study_5_St_Cyr_2024","boot",0.784687923778272
"Study_5_St_Cyr_2024","boot",0.972885370819775
"Study_5_St_Cyr_2024","boot",0.986869936494084
"Study_5_St_Cyr_2024","boot",0.82994653518334
"Study_5_St_Cyr_2024","boot",0.805260588311553
"Study_5_St_Cyr_2024","boot",0.760083091880118
"Study_5_St_Cyr_2024","boot",0.910188041886569
"Study_5_St_Cyr_2024","boot",0.919042075795019
"Study_5_St_Cyr_2024","boot",0.768383194892936
"Study_5_St_Cyr_2024","boot",0.878048231040001
"Study_5_St_Cyr_2024","boot",0.78054604749536
"Study_5_St_Cyr_2024","boot",0.959872982104792
"Study_5_St_Cyr_2024","boot",0.915628538636271
"Study_5_St_Cyr_2024","boot",0.623148560463435
"Study_5_St_Cyr_2024","boot",0.984996968123354
"Study_5_St_Cyr_2024","boot",0.913623662922808
"Study_5_St_Cyr_2024","boot",0.450997119371521
"Study_5_St_Cyr_2024","boot",0.863231078564298
"Study_5_St_Cyr_2024","boot",0.964949645236264
"Study_5_St_Cyr_2024","boot",0.815894115165447
"Study_5_St_Cyr_2024","boot",0.79237064413961
"Study_5_St_Cyr_2024","boot",0.870063014450073
"Study_5_St_Cyr_2024","boot",0.400993652621267
"Study_5_St_Cyr_2024","boot",0.80950786383984
"Study_5_St_Cyr_2024","boot",0.713028059897149
"Study_5_St_Cyr_2024","boot",0.955060130265885
"Study_5_St_Cyr_2024","boot",0.842622326989838
"Study_5_St_Cyr_2024","boot",0.847421755630085
"Study_5_St_Cyr_2024","independent",0.313068322732842
"Study_5_St_Cyr_2024","independent",0.752395559425035
"Study_5_St_Cyr_2024","independent",0.203980769299068
"Study_5_St_Cyr_2024","independent",0.044356301888578
"Study_5_St_Cyr_2024","independent",-0.384801432696362
"Study_5_St_Cyr_2024","independent",0.93693928471352
"Study_5_St_Cyr_2024","independent",-1.00250646223311
"Study_5_St_Cyr_2024","independent",0.5164617958251
"Study_5_St_Cyr_2024","independent",0.478208407179519
"Study_5_St_Cyr_2024","independent",-0.255127783715119
"Study_5_St_Cyr_2024","independent",-1.05922903470111
"Study_5_St_Cyr_2024","independent",-0.656088444446362
"Study_5_St_Cyr_2024","independent",-1.01104887305339
"Study_5_St_Cyr_2024","independent",0.306019731393398
"Study_5_St_Cyr_2024","independent",-0.0944527777934183
"Study_5_St_Cyr_2024","independent",0.744055194567637
"Study_5_St_Cyr_2024","independent",0.127647407350804
"Study_5_St_Cyr_2024","independent",0.321715174010202
"Study_5_St_Cyr_2024","independent",0.210020402315414
"Study_5_St_Cyr_2024","independent",0.491857850644328
"Study_5_St_Cyr_2024","independent",0.860403170093818
"Study_5_St_Cyr_2024","independent",0.629310840824509
"Study_5_St_Cyr_2024","independent",-0.128720033527314
"Study_5_St_Cyr_2024","independent",0.535724877271284
"Study_5_St_Cyr_2024","independent",-0.321365053211598
"Study_5_St_Cyr_2024","independent",0.816699380520649
"Study_5_St_Cyr_2024","independent",0.140388046425187
"Study_5_St_Cyr_2024","independent",0.667259113199023
"Study_5_St_Cyr_2024","independent",0.555635118210994
"Study_5_St_Cyr_2024","independent",0.578615789075475
"Study_5_St_Cyr_2024","independent",0.532535277593392
"Study_5_St_Cyr_2024","independent",0.746774520009752
"Study_5_St_Cyr_2024","independent",-0.609113620799747
"Study_5_St_Cyr_2024","independent",0.706381718880654
"Study_5_St_Cyr_2024","independent",-0.666968827666744
"Study_5_St_Cyr_2024","independent",0.357271271399241
"Study_5_St_Cyr_2024","independent",0.2188360165795
"Study_5_St_Cyr_2024","independent",-0.115558453419081
"Study_5_St_Cyr_2024","independent",-0.327516635306166
"Study_5_St_Cyr_2024","independent",-1.00953229002258
"Study_5_St_Cyr_2024","independent",-0.0993388906033936
"Study_5_St_Cyr_2024","independent",-1.05922726957279
"Study_5_St_Cyr_2024","independent",-0.653949585942458
"Study_5_St_Cyr_2024","independent",-0.986837197810717
"Study_5_St_Cyr_2024","independent",0.309607538748744
"Study_5_St_Cyr_2024","independent",-0.104837002752978
"Study_5_St_Cyr_2024","independent",0.736414787329105
"Study_5_St_Cyr_2024","independent",0.129818097597877
"Study_5_St_Cyr_2024","independent",0.326278772996149
"Study_5_St_Cyr_2024","independent",0.158349948464928
"Study_5_St_Cyr_2024","independent",0.536598387510673
"Study_5_St_Cyr_2024","independent",0.860400784061048
"Study_5_St_Cyr_2024","independent",0.629307994270538
"Study_5_St_Cyr_2024","independent",-0.0465126152952271
"Study_5_St_Cyr_2024","independent",-0.115098537384507
"Study_5_St_Cyr_2024","independent",0.10797879224508
"Study_5_St_Cyr_2024","independent",-0.553003284767803
"Study_5_St_Cyr_2024","independent",-2.9179118084652
"Study_5_St_Cyr_2024","independent",0.292907672717651
"Study_5_St_Cyr_2024","independent",0.762395221272853
"Study_5_St_Cyr_2024","independent",0.201000798988832
"Study_5_St_Cyr_2024","independent",0.0351768599277716
"Study_5_St_Cyr_2024","independent",-0.35568051310095
"Study_5_St_Cyr_2024","independent",0.968339513782005
"Study_5_St_Cyr_2024","independent",-0.914801163948867
"Study_5_St_Cyr_2024","independent",0.547508840440865
"Study_5_St_Cyr_2024","independent",0.507798359452013
"Study_5_St_Cyr_2024","independent",-0.210577182862755
"Study_5_St_Cyr_2024","independent",-1.07605603595897
"Study_5_St_Cyr_2024","independent",-0.615740072860985
"Study_5_St_Cyr_2024","independent",-0.991353810060265
"Study_5_St_Cyr_2024","independent",0.305512652088332
"Study_5_St_Cyr_2024","independent",-0.0267990112094507
"Study_5_St_Cyr_2024","independent",0.76306595949729
"Study_5_St_Cyr_2024","independent",0.169847980882605
"Study_5_St_Cyr_2024","independent",0.2891545462198
"Study_5_St_Cyr_2024","independent",0.229890366996912
"Study_5_St_Cyr_2024","independent",0.547086949916328
"Study_5_St_Cyr_2024","independent",0.841545341818927
"Study_5_St_Cyr_2024","independent",0.650966897663106
"Study_5_St_Cyr_2024","independent",-0.0858057168774347
"Study_5_St_Cyr_2024","independent",0.44960322467016
"Study_5_St_Cyr_2024","independent",-0.0775042802458612
"Study_5_St_Cyr_2024","independent",0.757557415601754
"Study_5_St_Cyr_2024","independent",0.0513540824800958
"Study_5_St_Cyr_2024","independent",0.753394363351995
"Study_5_St_Cyr_2024","independent",0.572047707350692
"Study_5_St_Cyr_2024","independent",0.661714358919934
"Study_5_St_Cyr_2024","independent",0.563109885176206
"Study_5_St_Cyr_2024","independent",0.754546151705747
"Study_5_St_Cyr_2024","independent",-0.68365632347033
"Study_5_St_Cyr_2024","independent",0.708270401424504
"Study_5_St_Cyr_2024","independent",-0.393399437814598
"Study_5_St_Cyr_2024","independent",0.302784931890322
"Study_5_St_Cyr_2024","independent",0.235261231126257
"Study_5_St_Cyr_2024","independent",-0.12971808356709
"Study_5_St_Cyr_2024","independent",-0.289643126260991
"Study_5_St_Cyr_2024","independent",-0.960431748131348
"Study_5_St_Cyr_2024","independent",-0.0756597132766188
"Study_5_St_Cyr_2024","independent",-1.04683202716677
"Study_5_St_Cyr_2024","independent",-0.600196470424866
"Study_5_St_Cyr_2024","independent",-0.944573001086901
"Study_5_St_Cyr_2024","independent",0.313194584091535
"Study_5_St_Cyr_2024","independent",-0.14349355935655
"Study_5_St_Cyr_2024","independent",0.744477170694422
"Study_5_St_Cyr_2024","independent",0.145588095086785
"Study_5_St_Cyr_2024","independent",0.304945937497511
"Study_5_St_Cyr_2024","independent",0.150199396079088
"Study_5_St_Cyr_2024","independent",0.55342331341496
"Study_5_St_Cyr_2024","independent",0.867037737337971
"Study_5_St_Cyr_2024","independent",0.611252603766546
"Study_5_St_Cyr_2024","independent",-0.0229810851531948
"Study_5_St_Cyr_2024","independent",0.013204252327266
"Study_5_St_Cyr_2024","independent",0.236206176485108
"Study_5_St_Cyr_2024","independent",-0.520581333853173
"Study_5_St_Cyr_2024","independent",-1.68556024667549
"Study_5_St_Cyr_2024","parametric",0.842120210712924
"Study_5_St_Cyr_2024","parametric",0.939905806758699
"Study_5_St_Cyr_2024","parametric",0.650949896387636
"Study_5_St_Cyr_2024","parametric",0.835951297334688
"Study_5_St_Cyr_2024","parametric",0.923171159917637
"Study_5_St_Cyr_2024","parametric",0.752256124381969
"Study_5_St_Cyr_2024","parametric",0.817194932083771
"Study_5_St_Cyr_2024","parametric",0.922048246774971
"Study_5_St_Cyr_2024","parametric",0.909754331044885
"Study_5_St_Cyr_2024","parametric",0.714740793172921
