model,effect,group,term,estimate,std.error,statistic,conf.low,conf.high
mixed1,fixed,NA,(Intercept),92.76189844775831,2.301406985584441,40.30660332083831,88.25122364224391,97.27257325327271
mixed1,fixed,NA,repetition_centered,-2.018184861230063,0.41908869943892646,-4.8156508727913625,-2.8395836184580903,-1.1967861040020358
mixed1,fixed,NA,conditionVaried,-0.03326385628603998,2.455435749184058,-0.013547027771789006,-4.845829491038918,4.779301778466838
mixed1,fixed,NA,repetition_centered:conditionVaried,-1.2792831136053104,0.3896509146993213,-3.2831518298692672,-2.0429848729590687,-0.5155813542515522
mixed1,ran_pars,sub_num,sd__(Intercept),12.35894865270845,NA,NA,NA,NA
mixed1,ran_pars,sub_num,cor__(Intercept).repetition,0.21466372047150253,NA,NA,NA,NA
mixed1,ran_pars,sub_num,cor__(Intercept).conditionVaried,-0.46978036802121387,NA,NA,NA,NA
mixed1,ran_pars,sub_num,sd__repetition,0.16351558473244157,NA,NA,NA,NA
mixed1,ran_pars,sub_num,cor__repetition.conditionVaried,0.01949840582546747,NA,NA,NA,NA
mixed1,ran_pars,sub_num,sd__conditionVaried,14.179468872893068,NA,NA,NA,NA
mixed1,ran_pars,Residual,sd__Observation,7.203286210915755,NA,NA,NA,NA
quadrartic1,fixed,NA,(Intercept),91.58854081608506,2.5601755980058205,35.77431988939566,86.57068884989536,96.60639278227475
quadrartic1,fixed,NA,repetition_centered,-2.01538193521428,0.4167185539189142,-4.836314381160087,-2.8321352925849643,-1.1986285778435957
quadrartic1,fixed,NA,I(repetition_centered^2),1.1727494201600952,0.3734705301818797,3.140139115096893,0.4407606317165319,1.9047382086036584
quadrartic1,fixed,NA,conditionVaried,-0.2078704494553873,2.5094157550606204,-0.08283619365829865,-5.126234951611588,4.710494052700813
quadrartic1,fixed,NA,repetition_centered:conditionVaried,-1.2867523539162227,0.3788738767011864,-3.3962551472797107,-2.029331506933617,-0.5441732008988284
quadrartic1,fixed,NA,I(repetition_centered^2):conditionVaried,0.1748413197472588,0.42371868122911244,0.4126353816642767,-0.6556320350386092,1.005314674533127
quadrartic1,ran_pars,sub_num,sd__(Intercept),14.962152424460415,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__(Intercept).conditionVaried,-0.4273200272899105,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__(Intercept).repetition_centered,0.42021338576384687,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__(Intercept).I(repetition_centered^2),-0.9644662711618066,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,sd__conditionVaried,14.295606635368804,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__conditionVaried.repetition_centered,0.023919405485177746,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__conditionVaried.I(repetition_centered^2),0.4167742714025259,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,sd__repetition_centered,1.9043652145729404,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,cor__repetition_centered.I(repetition_centered^2),-0.17191504929091947,NA,NA,NA,NA
quadrartic1,ran_pars,sub_num,sd__I(repetition_centered^2),1.3401876058376296,NA,NA,NA,NA
quadrartic1,ran_pars,Residual,sd__Observation,7.003645689312077,NA,NA,NA,NA
