...1,sub_num,condition,session,repetition,peak_force,peak_force_pretest,peak_force_percent,mean_peak
1,1,Fixed,1,2,46.713825,40.44618225,115.496253,121.5746213
2,1,Fixed,1,4,43.550655,40.44618225,107.6755644,121.5746213
3,1,Fixed,1,6,49.459587,40.44618225,122.2849333,121.5746213
4,1,Fixed,1,8,55.140249,40.44618225,136.3299227,121.5746213
5,1,Fixed,1,10,50.868339,40.44618225,125.7679617,121.5746213
6,1,Fixed,1,12,49.583505,40.44618225,122.5913108,121.5746213
7,1,Fixed,1,14,47.242107,40.44618225,116.8023887,121.5746213
8,1,Fixed,1,16,44.861577,40.44618225,110.9167158,121.5746213
9,1,Fixed,1,18,48.748689,40.44618225,120.527294,121.5746213
10,1,Fixed,1,20,47.144277,40.44618225,116.5605117,121.5746213
11,1,Fixed,1,22,43.478913,40.44618225,107.4981879,121.5746213
12,1,Fixed,1,24,41.665797,40.44618225,103.0154014,121.5746213
13,1,Fixed,1,26,51.403143,40.44618225,127.0902225,121.5746213
14,1,Fixed,1,28,54.775017,40.44618225,135.4269154,121.5746213
15,1,Fixed,1,30,49.270449,40.44618225,121.8173045,121.5746213
16,1,Fixed,1,32,46.263807,40.44618225,114.383619,121.5746213
17,1,Fixed,1,34,52.407531,40.44618225,129.5734927,121.5746213
18,1,Fixed,1,36,52.355355,40.44618225,129.4444916,121.5746213
19,1,Fixed,1,38,56.940321,40.44618225,140.780459,121.5746213
20,1,Fixed,1,40,51.572715,40.44618225,127.5094759,121.5746213
21,1,Varied,2,2,54.184776,53.64562352,101.005026,92.86918546
22,1,Varied,2,4,54.550008,53.64562352,101.6858495,92.86918546
23,1,Varied,2,6,55.202208,53.64562352,102.9016057,92.86918546
24,1,Varied,2,8,55.547874,53.64562352,103.5459565,92.86918546
25,1,Varied,2,10,50.030262,53.64562352,93.26065896,92.86918546
26,1,Varied,2,12,48.921522,53.64562352,91.1938734,92.86918546
27,1,Varied,2,14,51.856422,53.64562352,96.66477635,92.86918546
28,1,Varied,2,16,51.354228,53.64562352,95.72864407,92.86918546
29,1,Varied,2,18,51.693372,53.64562352,96.3608373,92.86918546
30,1,Varied,2,20,45.530082,53.64562352,84.8719411,92.86918546
31,1,Varied,2,22,46.586646,53.64562352,86.84146616,92.86918546
32,1,Varied,2,24,39.97986,53.64562352,74.52585574,92.86918546
33,1,Varied,2,26,46.788828,53.64562352,87.21835059,92.86918546
34,1,Varied,2,28,50.304186,53.64562352,93.77127657,92.86918546
35,1,Varied,2,30,49.821558,53.64562352,92.87161697,92.86918546
36,1,Varied,2,32,45.125718,53.64562352,84.11817225,92.86918546
37,1,Varied,2,34,51.086826,53.64562352,95.23018402,92.86918546
38,1,Varied,2,36,47.884524,53.64562352,89.26082102,92.86918546
39,1,Varied,2,38,49.678074,53.64562352,92.6041506,92.86918546
40,1,Varied,2,40,50.278098,53.64562352,93.72264632,92.86918546
41,3,Fixed,1,2,38.434146,39.69615173,96.82083609,88.60757697
42,3,Fixed,1,4,39.184176,39.69615173,98.71026357,88.60757697
