model,term,estimate,std.error,conf.low,conf.high,statistic
lm1,(Intercept),0.8576573219258327,0.012281889366158547,0.8334992663927232,0.8818153774589421,69.83105745025006
lm1,test_anxiety,-0.019431120881122005,0.004113494464355204,-0.02752222353987465,-0.01134001822236936,-4.723750341588914
lm2,(Intercept),0.47119071685321984,0.03630132098037564,0.3997687514700883,0.5426126822363514,12.979988169244415
lm2,test_anxiety,-0.009317506988962044,0.003744324182541416,-0.01668437367387595,-0.0019506403040481382,-2.488434904329757
lm2,performance_mock_exams,0.44296878341301554,0.040241689262237916,0.36379423935165633,0.5221433274743748,11.007708461898233
lm3,(Intercept),0.4273698126487001,0.03900756155650446,0.3504438183442934,0.5042958069531068,10.956076093852547
lm3,test_anxiety,-0.01579436370740282,0.008828695470255393,-0.0332052489399087,0.0016165215251030644,-1.7889804626986332
lm3,working_memory_trait,-0.010994127498370428,0.01267627705818084,-0.035992747711176276,0.014004492714435424,-0.867299400913235
lm3,performance_mock_exams,0.5180889680479638,0.035861799938523196,0.44736666427564303,0.5888112718202845,14.44681998494521
lm3,test_anxiety:working_memory_trait,0.0048623631832637,0.004046971318089145,-0.003118584103442848,0.012843310469970247,1.201481997544662
lm4,(Intercept),0.4300786262658757,0.03435225938844238,0.36249854205474974,0.4976587104770016,12.519660538269374
lm4,test_anxiety,-0.003965632652507788,0.0035481516598462933,-0.010945796176975497,0.0030145308719599214,-1.1176615411866526
lm4,performance_exam_prepare,0.5029460655407171,0.03881591023181151,0.4265847859947236,0.5793073450867106,12.957214259232508
t.test1,NA,0.07558802565930156,NA,-0.13951554522477808,0.29069159654338117,0.6910799729033346
t.test2,NA,0.01489739923484168,NA,-0.002305209254355207,0.032100007724038565,1.7033854976344656
t.test3,NA,0.00654544119265521,NA,-0.014065789843102729,0.02715667222841315,0.6246966427879628
t.test4,NA,-0.0039040609885989674,NA,-0.026247136636368518,0.018439014659170583,-0.34368206037162063
